"",Table 3: Demographics and clinical characteristics of patients stratified by different comorbidities.,
"",COPD Diabetes Hypertension Cardiovascular disease,Cerebrovascular disease
"",No Yes No Yes No Yes No Yes,No Yes
"",(n=1566) (n=24) (n=1460) (n=130) (n=1321) (n=269) (n=1531),(n=1560)
"",(n=59),(n=30)
Age (year),48.5±16.0 74.7±6.8 47.8±16.1 61.2±13.4 46.2±15.6 62.1±12.5 48.2±15.9 66.3±15.1,48.5±16.1 70.4±8.9
Incubation period (day),3.6±4.2 4.5±3.2 3.6±4.1 3.8±5.0 3.6±4.2 3.6±4.1 3.7±4.2 3.3±3.7,3.6±4.2 3.8±3.4
Temperature on admission (°C),37.4±0.9 37.3±0.9 37.4±0.9 37.2±1.0 37.4±0.9 37.2±0.9 37.4±0.9 37.3±1,37.4±0.9 36.9±0.8
Respiratory rate on admission (breath/min),21.2±12.1 21.8±5.2 21.2±12.4 21.4±5.4 21.2±13.1 21.3±4.5 21.2±12.2 21.4±6.2,21.3±12.1 19.9±3.3
Heart rate (bit/minute),88.6±14.6 90.2±12.8 88.6±14.6 89.1±14.3 88.6±14.7 89±14.3 88.8±14.6 86.4±14.9,88.8±14.6 84.5±11.4
Systolic pressure on admission (mmHg),126±16.4 131±17.5 125.3±15.9 134.4±19.1 123.9±15.2 135.4±18.2 125.8±16.3 132.3±18.8,125.9±16.4 132.9±16
Diastolic pressure on admission (mmHg),79.6±25.7 77±11.9 79.4±26.4 80.9±13.2 79.2±27.7 81±12.5 79.6±25.9 78.4±13.6,79.6±25.8 77.4±9.6
Highest temperature (°C),38.3±1.6 38.5±0.6 38.3±1.7 38.4±0.8 38.3±1.3 38.2±2.7 38.3±1.7 38.5±0.8,38.3±1.6 38.2±1
Sex,,
Male,884/1554 20/24 828/1449 76/129 748/1312 156/266 868/1520 36/58,881/1548 23/30
"",(56.9),(83.3),(57.1),(58.9),(57),(58.6),(57.1),(62.1),(56.9),(76.7)
Female,670/1554,4/24,621/1449,53/129,564/1312,110/266,652/1520,22/58,667/1548,7/30
"",(43.1),(16.7),(42.9),(41.1),(43),(41.4),(42.9),(37.9),(43.1),
"",,,,,,,,,,(23.3)
Smoking status,,,,,,,,,,
Never/unknown,1458/156,21/24,1368/1460,111/130,1232/1321,247/269,1426/1531,53/59,1453/1560,26/30
"",6 (93.1),(87.5),(93.7),(85.4),(93.3),(91.8),(93.1),(89.8),(93.1),(86.7)
Former/current,108/1566,3/24,92/1460,19/130,89/1321,22/269,105/1531,6/59,107/1560,4/30
"",(6.9),(12.5),(6.3),(14.6),(6.7),(8.2),(6.9),,(6.9),
"",,,,,,,,(10.2),,(13.3)
Symptoms,,,,,,,,,,
Fever,1331/151,20/23,1239/1412,112/124,1113/1273,238/263,1308/1482,43/54,1328/1507,23/29
"",3 (88),,(87.7),(90.3),(87.4),(90.5),(88.3),(79.6),(88.1),(79.3)
"",,(87.0),,,,,,,,
Conjunctival congestion,10/1325,0/20,9/1237,1/108,9/1120,1/225,10/1299,0/46,10/1320,0/25
"",(0.8),,(0.7),,(0.8),,(0.8),,(0.8),
"",,(0),,(0.9),,(0.4),,(0),,(0)
Nasal congestion,72/1281,1/18,66/1195,7/104,62/1079,11/220,67/1253,6/46,73/1275,0/24
"",(5.6),,(5.5),,(5.7),,(5.3),,(5.7),
"",,(5.6),,(6.7),,(5),,(13.0),,(0)
"",(56.9),(83.3),(57.1),(58.9),(57),(58.6),(57.1),(62.1),(56.9),(76.7)
Female,670/1554,4/24,621/1449,53/129,564/1312,110/266,652/1520,22/58,667/1548,7/30
"",(43.1),(16.7),(42.9),(41.1),(43),(41.4),(42.9),(37.9),(43.1),
"",,,,,,,,,,(23.3)
Smoking status,,,,,,,,,,
Never/unknown,1458/156,21/24,1368/1460,111/130,1232/1321,247/269,1426/1531,53/59,1453/1560,26/30
"",6 (93.1),(87.5),(93.7),(85.4),(93.3),(91.8),(93.1),(89.8),(93.1),(86.7)
Former/current,108/1566,3/24,92/1460,19/130,89/1321,22/269,105/1531,6/59,107/1560,4/30
"",(6.9),(12.5),(6.3),(14.6),(6.7),(8.2),(6.9),,(6.9),
"",,,,,,,,(10.2),,(13.3)
Symptoms,,,,,,,,,,
Fever,1331/151,20/23,1239/1412,112/124,1113/1273,238/263,1308/1482,43/54,1328/1507,23/29
"",3 (88),,(87.7),(90.3),(87.4),(90.5),(88.3),(79.6),(88.1),(79.3)
"",,(87.0),,,,,,,,
Conjunctival congestion,10/1325,0/20,9/1237,1/108,9/1120,1/225,10/1299,0/46,10/1320,0/25
"",(0.8),,(0.7),,(0.8),,(0.8),,(0.8),
"",,(0),,(0.9),,(0.4),,(0),,(0)
Nasal congestion,72/1281,1/18,66/1195,7/104,62/1079,11/220,67/1253,6/46,73/1275,0/24
"",(5.6),,(5.5),,(5.7),,(5.3),,(5.7),
"",,(5.6),,(6.7),,(5),,(13.0),,(0)
"",(56.9),(83.3),(57.1),(58.9),(57),(58.6),(57.1),(62.1),(56.9),(76.7)
Female,670/1554,4/24,621/1449,53/129,564/1312,110/266,652/1520,22/58,667/1548,7/30
"",(43.1),(16.7),(42.9),(41.1),(43),(41.4),(42.9),(37.9),(43.1),
"",,,,,,,,,,(23.3)
Smoking status,,,,,,,,,,
Never/unknown,1458/156,21/24,1368/1460,111/130,1232/1321,247/269,1426/1531,53/59,1453/1560,26/30
"",6 (93.1),(87.5),(93.7),(85.4),(93.3),(91.8),(93.1),(89.8),(93.1),(86.7)
Former/current,108/1566,3/24,92/1460,19/130,89/1321,22/269,105/1531,6/59,107/1560,4/30
"",(6.9),(12.5),(6.3),(14.6),(6.7),(8.2),(6.9),,(6.9),
"",,,,,,,,(10.2),,(13.3)
Symptoms,,,,,,,,,,
Fever,1331/151,20/23,1239/1412,112/124,1113/1273,238/263,1308/1482,43/54,1328/1507,23/29
"",3 (88),,(87.7),(90.3),(87.4),(90.5),(88.3),(79.6),(88.1),(79.3)
"",,(87.0),,,,,,,,
Conjunctival congestion,10/1325,0/20,9/1237,1/108,9/1120,1/225,10/1299,0/46,10/1320,0/25
"",(0.8),,(0.7),,(0.8),,(0.8),,(0.8),
"",,(0),,(0.9),,(0.4),,(0),,(0)
Nasal congestion,72/1281,1/18,66/1195,7/104,62/1079,11/220,67/1253,6/46,73/1275,0/24
"",(5.6),,(5.5),,(5.7),,(5.3),,(5.7),
"",,(5.6),,(6.7),,(5),,(13.0),,(0)
"",(56.9),(83.3),(57.1),(58.9),(57),(58.6),(57.1),(62.1),(56.9),(76.7)
Female,670/1554,4/24,621/1449,53/129,564/1312,110/266,652/1520,22/58,667/1548,7/30
"",(43.1),(16.7),(42.9),(41.1),(43),(41.4),(42.9),(37.9),(43.1),
"",,,,,,,,,,(23.3)
Smoking status,,,,,,,,,,
Never/unknown,1458/156,21/24,1368/1460,111/130,1232/1321,247/269,1426/1531,53/59,1453/1560,26/30
"",6 (93.1),(87.5),(93.7),(85.4),(93.3),(91.8),(93.1),(89.8),(93.1),(86.7)
Former/current,108/1566,3/24,92/1460,19/130,89/1321,22/269,105/1531,6/59,107/1560,4/30
"",(6.9),(12.5),(6.3),(14.6),(6.7),(8.2),(6.9),,(6.9),
"",,,,,,,,(10.2),,(13.3)
Symptoms,,,,,,,,,,
Fever,1331/151,20/23,1239/1412,112/124,1113/1273,238/263,1308/1482,43/54,1328/1507,23/29
"",3 (88),,(87.7),(90.3),(87.4),(90.5),(88.3),(79.6),(88.1),(79.3)
"",,(87.0),,,,,,,,
